record_num,timestamp,open,high,low,close,buy_count,sell_count,volume,volume_delta,cumulative_volume_delta,cumulative_volume
410,2025-06-12 01:07:00,6064.50,6065.25,6064.25,6065.00,1,5,6,-4,-143,8238
411,2025-06-12 01:08:00,6064.75,6064.75,6064.75,6064.75,1,2,3,-1,-144,8241
412,2025-06-12 01:09:00,6064.50,6064.50,6064.00,6064.00,0,5,5,-5,-149,8246
413,2025-06-12 01:10:00,6064.50,6064.50,6064.25,6064.25,4,5,9,-1,-150,8255
414,2025-06-12 01:11:00,6064.50,6064.50,6064.50,6064.50,0,2,2,-2,-152,8257
415,2025-06-12 01:12:00,6064.50,6064.50,6064.50,6064.50,1,1,2,0,-152,8259
416,2025-06-12 01:13:00,6064.75,6064.75,6064.00,6064.00,2,4,6,-2,-154,8265
417,2025-06-12 01:14:00,6064.00,6064.75,6063.75,6064.50,7,6,13,1,-153,8278
418,2025-06-12 01:15:00,6065.00,6066.75,6065.00,6066.75,10,10,20,0,-153,8298
419,2025-06-12 01:16:00,6066.50,6066.50,6065.50,6065.50,3,14,17,-11,-164,8315
420,2025-06-12 01:17:00,6065.50,6065.75,6065.50,6065.50,3,2,5,1,-163,8320
421,2025-06-12 01:18:00,6065.25,6065.25,6065.25,6065.25,0,1,1,-1,-164,8321
422,2025-06-12 01:20:00,6064.50,6064.75,6064.50,6064.75,2,2,4,0,-164,8325
423,2025-06-12 01:23:00,6066.00,6066.00,6066.00,6066.00,1,0,1,1,-163,8326
424,2025-06-12 01:24:00,6066.50,6067.50,6066.50,6067.25,5,4,9,1,-162,8335
425,2025-06-12 01:25:00,6067.50,6067.50,6067.50,6067.50,0,3,3,-3,-165,8338
426,2025-06-12 01:26:00,6067.75,6068.00,6067.75,6068.00,5,0,5,5,-160,8343
427,2025-06-12 01:27:00,6067.75,6068.00,6067.75,6068.00,6,2,8,4,-156,8351
428,2025-06-12 01:28:00,6068.25,6068.25,6067.75,6067.75,10,6,16,4,-152,8367
429,2025-06-12 01:29:00,6067.25,6067.25,6067.25,6067.25,3,0,3,3,-149,8370
